sobrevivio,clase,genero,edad,hermanos_conyuges,padres_hijos
0,3,mujer,45,0,1
0,3,hombre,35,0,0
0,3,hombre,30,0,0
1,1,mujer,60,1,0
1,1,mujer,24,0,0
1,1,hombre,25,1,0
0,3,hombre,18,1,0
0,3,hombre,19,0,0
0,1,hombre,22,0,0
0,3,mujer,3,3,1
1,3,mujer,22,0,0
0,1,hombre,27,0,2
0,3,hombre,20,0,0
0,3,hombre,19,0,0
1,1,mujer,42,0,0
1,3,mujer,1,0,2
0,3,hombre,32,0,0
1,1,mujer,35,1,0
0,2,hombre,18,0,0
0,3,hombre,1,5,2
1,2,mujer,36,0,0
1,2,mujer,17,0,0
1,1,hombre,36,1,2
1,3,hombre,21,0,0
0,3,hombre,28,2,0
1,1,mujer,23,1,0
1,3,mujer,24,0,2
0,3,hombre,22,0,0
0,3,mujer,31,0,0
0,2,hombre,46,0,0
0,2,hombre,23,0,0
1,2,mujer,28,0,0
1,3,hombre,39,0,0
0,3,hombre,26,0,0
0,3,mujer,21,1,0
0,3,hombre,28,1,0
0,3,mujer,20,0,0
0,2,hombre,34,1,0
0,3,hombre,51,0,0
1,2,hombre,3,1,1
0,3,hombre,21,0,0
1,1,mujer,33,1,0
1,3,hombre,44,0,0
1,2,mujer,34,1,1
1,2,mujer,18,0,2
0,2,hombre,30,0,0
0,3,mujer,10,0,2
0,3,hombre,21,0,0
0,3,hombre,29,0,0
0,3,mujer,28,1,1
0,3,hombre,18,1,1
1,2,mujer,28,1,0
1,2,mujer,19,0,0
1,3,hombre,32,0,0
1,1,hombre,28,0,0
1,2,mujer,42,1,0
0,3,hombre,17,0,0
0,1,hombre,50,1,0
1,1,mujer,14,1,2
0,3,mujer,21,2,2
1,2,mujer,24,2,3
0,1,hombre,64,1,4
0,2,hombre,31,0,0
1,2,mujer,45,1,1
0,3,hombre,20,0,0
0,3,hombre,25,1,0
1,2,mujer,28,0,0
1,1,hombre,4,0,2
1,2,mujer,13,0,1
1,1,hombre,34,0,0
1,3,mujer,5,2,1
1,1,hombre,52,0,0
0,2,hombre,36,1,2
0,1,hombre,30,0,0
1,1,hombre,49,1,0
1,3,hombre,29,0,0
0,1,hombre,65,0,0
1,2,mujer,50,0,0
1,1,hombre,48,0,0
0,3,hombre,34,0,0
0,1,hombre,47,0,0
0,2,hombre,48,0,0
0,3,hombre,38,0,0
0,1,hombre,56,0,0
1,3,mujer,1,2,1
0,3,hombre,38,0,0
1,2,mujer,33,1,2
1,2,mujer,23,0,0
0,3,mujer,22,0,0
0,2,hombre,34,1,0
0,3,hombre,29,1,0
0,3,hombre,22,0,0
1,3,mujer,2,0,1
0,3,hombre,9,5,2
0,3,hombre,50,0,0
1,3,mujer,63,0,0
1,1,hombre,25,1,0
1,1,mujer,35,1,0
0,1,hombre,58,0,0
0,3,hombre,30,0,0
1,3,hombre,9,1,1
0,3,hombre,21,0,0
0,1,hombre,55,0,0
0,1,hombre,71,0,0
0,3,hombre,21,0,0
1,1,mujer,54,1,0
0,1,mujer,25,1,2
0,3,hombre,24,0,0
0,3,hombre,17,0,0
0,3,mujer,21,0,0
0,3,mujer,37,0,0
1,1,mujer,16,0,0
0,1,hombre,18,1,0
1,2,mujer,33,0,2
0,3,hombre,28,0,0
1,3,hombre,26,0,0
1,3,hombre,29,0,0
1,1,hombre,36,0,0
1,1,mujer,54,1,0
0,3,hombre,24,0,0
0,1,hombre,47,0,0
1,2,mujer,34,0,0
1,2,mujer,36,1,0
0,3,hombre,32,0,0
1,1,mujer,30,0,0
0,3,hombre,22,0,0
1,1,mujer,44,0,1
0,3,hombre,40,0,0
1,2,mujer,50,0,0
0,3,hombre,39,0,0
0,2,hombre,23,2,1
1,2,mujer,2,1,1
0,3,hombre,17,1,1
0,3,mujer,30,0,0
1,2,mujer,7,0,2
0,1,hombre,45,0,0
1,1,mujer,30,0,0
1,1,mujer,22,0,2
1,1,mujer,36,0,2
0,3,mujer,9,4,2
0,3,mujer,11,4,2
1,2,hombre,32,1,0
0,1,hombre,50,1,0
0,1,hombre,64,0,0
1,2,mujer,19,1,0
0,3,hombre,33,1,1
1,2,hombre,8,1,1
1,1,hombre,17,0,2
0,2,hombre,27,0,0
1,3,hombre,22,0,0
1,3,mujer,22,0,0
0,1,hombre,62,0,0
1,1,mujer,48,1,0
1,1,mujer,39,1,1
1,3,mujer,36,1,0
0,3,hombre,40,0,0
0,2,hombre,28,0,0
0,3,hombre,24,2,0
0,3,hombre,19,0,0
0,3,mujer,29,0,4
1,3,hombre,32,0,0
1,2,hombre,62,0,0
1,1,mujer,53,2,0
1,1,hombre,36,0,0
0,3,hombre,16,0,0
0,3,hombre,19,0,0
1,2,mujer,34,0,0
1,1,mujer,39,1,0
1,3,hombre,32,0,0
1,2,mujer,25,1,1
1,1,mujer,39,1,1
0,2,hombre,54,0,0
0,1,hombre,36,0,0
1,1,mujer,18,0,2
0,2,hombre,47,0,0
1,1,hombre,60,1,1
0,3,hombre,22,0,0
0,3,hombre,35,0,0
1,1,mujer,52,1,0
0,3,hombre,47,0,0
0,2,hombre,37,1,0
0,3,hombre,36,1,1
0,3,hombre,49,0,0
1,1,hombre,49,1,0
1,2,mujer,24,2,1
0,3,hombre,44,0,0
1,1,hombre,35,0,0
0,3,hombre,36,1,0
0,3,hombre,30,0,0
1,1,hombre,27,0,0
1,2,mujer,22,1,2
1,1,mujer,40,0,0
0,3,mujer,39,1,5
0,3,hombre,35,0,0
1,2,mujer,24,1,2
0,3,hombre,34,1,1
0,3,mujer,26,1,0
1,2,mujer,4,2,1
0,2,hombre,26,0,0
0,3,hombre,27,1,0
1,1,hombre,42,1,0
1,3,hombre,20,1,1
0,3,hombre,21,0,0
0,3,hombre,21,0,0
0,1,hombre,61,0,0
0,2,hombre,57,0,0
1,1,mujer,21,0,0
0,3,hombre,26,0,0
1,1,hombre,80,0,0
0,3,hombre,51,0,0
1,1,hombre,32,0,0
0,3,mujer,9,3,2
1,2,mujer,28,0,0
0,3,hombre,32,0,0
0,2,hombre,31,1,1
0,3,mujer,41,0,5
0,3,hombre,20,0,0
1,1,mujer,24,0,0
0,3,mujer,2,3,2
1,3,mujer,1,2,1
1,1,hombre,48,1,0
0,3,hombre,19,0,0
1,1,hombre,56,0,0
1,3,mujer,23,0,0
1,2,mujer,18,0,1
0,3,hombre,21,0,0
0,3,mujer,18,0,0
0,2,hombre,24,2,0
0,3,mujer,32,1,1
0,2,hombre,23,0,0
0,1,hombre,58,0,2
1,1,hombre,50,2,0
0,3,hombre,40,0,0
0,1,hombre,47,0,0
0,3,hombre,36,0,0
1,3,hombre,20,1,0
0,2,hombre,32,2,0
0,2,hombre,25,0,0
0,3,hombre,43,0,0
1,2,mujer,40,1,1
0,1,hombre,31,1,0
0,2,hombre,70,0,0
1,2,hombre,31,0,0
0,3,hombre,18,0,0
0,3,hombre,24,0,0
1,3,mujer,18,0,0
0,3,mujer,43,1,6
1,1,hombre,36,0,1
1,1,hombre,27,0,0
0,3,hombre,20,0,0
0,3,hombre,14,5,2
0,2,hombre,60,1,1
0,2,hombre,25,1,2
0,3,hombre,14,4,1
0,3,hombre,19,0,0
0,3,hombre,18,0,0
1,1,mujer,15,0,1
1,1,hombre,31,1,0
1,3,mujer,4,0,1
0,3,hombre,25,0,0
0,1,hombre,60,0,0
0,2,hombre,52,0,0
0,3,hombre,44,0,0
0,1,hombre,49,1,1
0,3,hombre,42,0,0
1,1,mujer,18,1,0
1,1,hombre,35,0,0
0,3,mujer,18,0,1
0,3,hombre,25,0,0
0,3,hombre,26,1,0
0,2,hombre,39,0,0
1,2,mujer,45,0,0
1,1,hombre,42,0,0
1,1,mujer,22,0,0
1,1,mujer,24,0,0
1,1,hombre,48,1,0
0,3,hombre,29,0,0
0,2,hombre,52,0,0
0,3,hombre,19,0,0
1,1,mujer,38,0,0
1,2,mujer,27,0,0
0,3,hombre,33,0,0
1,2,mujer,6,0,1
0,3,hombre,17,1,0
0,2,hombre,34,0,0
0,2,hombre,50,0,0
1,1,hombre,27,1,0
0,3,hombre,20,0,0
1,2,mujer,30,3,0
0,2,hombre,25,1,0
0,3,mujer,25,1,0
1,1,mujer,29,0,0
0,3,hombre,11,0,0
0,2,hombre,23,0,0
0,2,hombre,23,0,0
0,3,hombre,28,0,0
0,3,mujer,48,1,3
1,1,hombre,35,0,0
0,1,hombre,36,1,0
1,1,mujer,21,2,2
0,3,hombre,24,1,0
1,3,hombre,31,0,0
0,1,hombre,70,1,1
0,3,hombre,16,1,1
1,2,mujer,30,0,0
0,1,hombre,19,1,0
0,3,hombre,31,0,0
1,2,mujer,4,1,1
1,3,hombre,6,0,1
0,3,hombre,33,0,0
0,3,hombre,23,0,0
1,2,mujer,48,1,2
1,2,hombre,1,1,1
0,3,hombre,28,0,0
0,2,hombre,18,0,0
0,3,hombre,34,0,0
1,1,mujer,33,0,0
0,3,hombre,41,0,0
1,3,hombre,20,0,0
1,1,mujer,36,1,2
0,3,hombre,16,0,0
1,1,mujer,51,1,0
0,3,mujer,30,0,0
0,3,hombre,32,0,0
0,3,hombre,24,0,0
0,3,hombre,48,0,0
0,2,mujer,57,0,0
1,2,mujer,54,1,3
0,3,hombre,18,0,0
1,3,mujer,5,0,0
1,1,mujer,43,0,1
1,3,mujer,13,0,0
1,1,mujer,17,1,0
0,1,hombre,29,0,0
0,3,hombre,25,0,0
0,3,hombre,25,0,0
1,3,mujer,18,0,0
0,3,hombre,8,4,1
1,3,hombre,1,1,2
0,1,hombre,46,0,0
0,2,hombre,16,0,0
0,3,hombre,25,0,0
0,2,hombre,39,0,0
1,1,mujer,49,0,0
1,3,mujer,31,0,0
0,3,hombre,30,0,0
0,3,mujer,30,1,1
0,2,hombre,34,0,0
1,2,mujer,31,1,1
1,1,hombre,11,1,2
1,3,hombre,0,0,1
1,3,hombre,27,0,0
0,3,hombre,31,0,0
0,1,hombre,39,0,0
0,3,mujer,18,0,0
0,2,hombre,39,0,0
1,1,mujer,33,1,0
0,3,hombre,26,0,0
0,3,hombre,39,0,0
0,2,hombre,35,0,0
0,3,mujer,6,4,2
0,3,hombre,30,0,0
0,3,mujer,23,0,0
0,2,hombre,31,1,1
0,3,hombre,43,0,0
0,3,hombre,10,3,2
1,1,mujer,52,1,1
1,3,hombre,27,0,0
0,1,hombre,38,0,0
1,3,mujer,27,0,1
0,3,hombre,2,4,1
1,2,hombre,1,0,2
1,1,mujer,62,0,0
1,3,mujer,15,1,0
1,2,hombre,1,1,1
0,3,hombre,23,0,0
0,3,hombre,18,0,0
1,1,mujer,39,1,1
0,3,hombre,21,0,0
1,3,hombre,32,0,0
0,3,hombre,20,0,0
0,2,hombre,16,0,0
1,1,mujer,30,0,0
0,3,hombre,34,0,0
0,3,hombre,17,0,0
0,3,hombre,42,0,0
0,3,hombre,35,0,0
0,2,hombre,28,0,1
0,3,hombre,4,4,2
0,3,hombre,74,0,0
0,3,mujer,9,1,1
1,1,mujer,16,0,1
0,2,mujer,44,1,0
1,3,mujer,18,0,1
1,1,mujer,45,1,1
1,1,hombre,51,0,0
1,3,mujer,24,0,3
0,3,hombre,41,2,0
0,2,hombre,21,1,0
1,1,mujer,48,0,0
0,2,hombre,24,0,0
1,2,mujer,42,0,0
1,2,mujer,27,1,0
0,1,hombre,31,0,0
1,3,hombre,4,1,1
0,3,hombre,26,0,0
1,1,mujer,47,1,1
0,1,hombre,33,0,0
0,3,hombre,47,0,0
1,2,mujer,28,1,0
1,3,mujer,15,0,0
0,3,hombre,20,0,0
0,3,hombre,19,0,0
1,1,mujer,56,0,1
1,2,mujer,25,0,1
0,3,hombre,33,0,0
0,3,mujer,22,0,0
0,2,hombre,28,0,0
0,3,hombre,25,0,0
0,3,mujer,39,0,5
0,2,hombre,27,0,0
1,1,mujer,19,0,0
1,1,hombre,26,0,0
0,3,hombre,32,0,0
